ID,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Accuracy,Time
1,"{'filter_height': 3, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.7954,179.12058520317078
2,"{'filter_height': 5, 'filter_width': 5, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 1, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}",0.7979,259.2449414730072
3,"{'filter_height': 3, 'filter_width': 7, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}",0.7901199999999999,182.5841519832611
4,"{'filter_height': 5, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 64, 'pool_size': 1}",0.82104,344.53981256484985
5,"{'filter_height': 7, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 1, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 3, 'num_filters': 64, 'pool_size': 1}",0.7567999999999999,168.54782795906067
6,"{'filter_height': 3, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 5, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.7960200000000001,316.02814054489136
7,"{'filter_height': 7, 'filter_width': 7, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 5, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 64, 'pool_size': 2}",0.8132999999999999,253.66561341285706
8,"{'filter_height': 1, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 1, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 1, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}",0.76378,182.59548950195312
9,"{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 64, 'pool_size': 1}",0.75596,168.45473790168762
10,"{'filter_height': 1, 'filter_width': 7, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 1, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}",0.77998,192.4854772090912
