Epoch,train acc,val acc,quan acc
1,0.10132,0.1243,0.1185
2,0.22378,0.3259,0.3115
3,0.34758,0.4023,0.3967
4,0.41844,0.4731,0.4506
5,0.46496,0.5178,0.5088
6,0.50018,0.5501,0.5296
7,0.51926,0.586,0.5673
8,0.53816,0.5732,0.5493
9,0.55004,0.5815,0.5426
10,0.56178,0.5943,0.5812
11,0.57276,0.6246,0.5926
12,0.58204,0.6161,0.5796
13,0.58566,0.6331,0.5857
14,0.5946,0.6384,0.5978
15,0.59622,0.6436,0.5862
16,0.605,0.6404,0.5728
17,0.60862,0.6404,0.582
18,0.61404,0.6635,0.5853
19,0.6146,0.663,0.5945
20,0.62154,0.6579,0.5724
21,0.6236,0.6816,0.6082
22,0.62872,0.661,0.6007
23,0.6312,0.6598,0.6152
24,0.63202,0.6844,0.6161
25,0.63606,0.6972,0.6179
26,0.64004,0.6993,0.6111
27,0.64214,0.6989,0.5823
28,0.64228,0.694,0.618
29,0.64344,0.6997,0.6049
30,0.64838,0.6937,0.5927
31,0.64836,0.6926,0.6183
32,0.6506,0.6904,0.5823
33,0.65162,0.6943,0.6141
34,0.65132,0.7147,0.624
35,0.65632,0.7092,0.6158
36,0.65716,0.707,0.606
37,0.66048,0.7141,0.6204
38,0.66174,0.7077,0.6128
39,0.65944,0.7001,0.5992
40,0.66254,0.7184,0.6378
41,0.68348,0.7329,0.6491
42,0.69166,0.7339,0.6441
43,0.69292,0.735,0.6548
44,0.69554,0.7405,0.6426
45,0.69822,0.7414,0.6508
46,0.69496,0.7421,0.6619
47,0.69874,0.7415,0.6451
48,0.69742,0.7459,0.6515
49,0.69946,0.745,0.6457
50,0.70306,0.7452,0.6432
51,0.70244,0.7455,0.6494
52,0.70102,0.742,0.6415
53,0.70438,0.7469,0.6576
54,0.70464,0.7489,0.6583
55,0.7029,0.7497,0.6616
56,0.7049,0.7519,0.6578
57,0.70476,0.7482,0.6595
58,0.70474,0.7454,0.6582
59,0.7053,0.7513,0.6538
60,0.70582,0.7493,0.6589
61,0.70868,0.7507,0.6674
62,0.70858,0.7518,0.6699
63,0.70816,0.7509,0.6682
64,0.7096,0.7548,0.6568
65,0.709,0.7548,0.66
66,0.70836,0.7469,0.6517
67,0.70872,0.7494,0.6595
68,0.70656,0.7522,0.6696
69,0.71014,0.75,0.6605
70,0.70984,0.7554,0.6753
71,0.71112,0.7523,0.67
72,0.71184,0.751,0.6631
73,0.7113,0.7526,0.6638
74,0.71256,0.7555,0.6571
75,0.7116,0.7527,0.6765
76,0.71298,0.7564,0.6802
77,0.71032,0.7545,0.6645
78,0.71204,0.7569,0.6644
79,0.71476,0.7529,0.6664
80,0.71304,0.755,0.665
81,0.71556,0.7578,0.6711
82,0.71714,0.7593,0.664
83,0.71734,0.7611,0.6692
84,0.71828,0.7573,0.6674
85,0.71728,0.7585,0.6675
86,0.7184,0.7598,0.6641
87,0.71642,0.7577,0.6726
88,0.71662,0.7591,0.6653
89,0.71786,0.7579,0.6662
90,0.7185,0.7603,0.6579
91,0.71882,0.7578,0.6629
92,0.71776,0.7592,0.6653
93,0.719,0.7592,0.6728
94,0.71736,0.7573,0.6651
95,0.71648,0.7588,0.6686
96,0.72092,0.7548,0.6604
97,0.71752,0.7572,0.6631
98,0.7163,0.7597,0.6634
99,0.71892,0.7593,0.659
100,0.71798,0.7608,0.6626
101,0.7211,0.7615,0.6626
102,0.72012,0.7606,0.6576
103,0.72088,0.7595,0.6685
104,0.71776,0.7585,0.6541
105,0.71912,0.7617,0.6545
106,0.71976,0.7614,0.6674
107,0.72066,0.76,0.6614
108,0.71874,0.7586,0.6634
109,0.71956,0.7581,0.6696
110,0.72126,0.7593,0.6739
111,0.71794,0.7603,0.6708
112,0.71732,0.7583,0.6678
113,0.72118,0.7623,0.669
114,0.71962,0.7595,0.6662
115,0.71838,0.7591,0.6696
116,0.7214,0.7633,0.6729
117,0.723,0.7611,0.672
118,0.72006,0.7647,0.6743
119,0.72024,0.7606,0.6706
120,0.72074,0.7596,0.6705
121,0.72282,0.7633,0.677
122,0.72078,0.7643,0.6775
123,0.72114,0.7603,0.6826
124,0.72198,0.762,0.6749
125,0.7229,0.7641,0.6756
126,0.71948,0.7639,0.6678
127,0.72418,0.7604,0.665
128,0.7206,0.7608,0.6712
129,0.72124,0.7608,0.6746
130,0.72488,0.7633,0.6746
131,0.72046,0.7633,0.668
132,0.72076,0.762,0.675
133,0.72332,0.7637,0.6718
134,0.72144,0.7634,0.6832
135,0.72422,0.7629,0.6771
136,0.72256,0.7655,0.6716
137,0.7236,0.7649,0.6794
138,0.71888,0.7639,0.6735
139,0.72496,0.764,0.6666
140,0.7231,0.7623,0.6719
141,0.72236,0.7628,0.6612
142,0.72408,0.7645,0.6705
143,0.72312,0.7652,0.6736
144,0.7236,0.7649,0.6712
145,0.72498,0.7624,0.6728
146,0.72164,0.765,0.6644
147,0.72404,0.7651,0.6723
148,0.72214,0.7639,0.6706
149,0.72206,0.7664,0.6719
150,0.72432,0.7663,0.6754
